longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0.0139442231075683,-0.6301806588735381,0.5686274509803921,-0.9067602624752022,-0.903786468032278,-0.9618823397516746,-0.899029764841309,-0.3934152632377483,0.4152560195628061,NEAR OCEAN
-0.5557768924302806,0.0860786397449526,-0.019607843137255,-0.9918612340403886,-0.9919304779639976,-0.9953474032343956,-0.992106561420819,-0.7413690845643508,-0.4948433202337309,NEAR BAY
0.099601593625497,-0.4197662061636551,0.2549019607843137,-0.9395696627498856,-0.9329608938547488,-0.9599764567392584,-0.935865811544154,-0.7061695700748956,-0.7265949418765283,INLAND
0.3027888446215137,-0.7598299681190213,-0.7254901960784315,-0.893382165929091,-0.8941651148355059,-0.9492698786400964,-0.8921230060845255,0.0012275692749066,0.3521634962330053,<1H OCEAN
-0.5996015936255006,0.0605738575982996,0.0196078431372548,-0.8302558624548553,-0.851024208566108,-0.9242691779478124,-0.8496957737214275,-0.0609508834360905,0.8540170968367142,NEAR OCEAN
-0.5398406374502009,0.2136025504782139,0.4509803921568627,-0.938348847855944,-0.9245810055865922,-0.964741164270299,-0.9167900016444664,-0.6767079074771383,-0.6733992849514021,INLAND
-0.5119521912350606,0.0456960680127522,0.0980392156862743,-0.8787832544890382,-0.8410924891371819,-0.8999411418481459,-0.8325933234665351,-0.5390132549895863,-0.1517519515383441,<1H OCEAN
0.225099601593623,-0.7003188097768325,0.3333333333333332,-0.9022330739101684,-0.8389199255121043,-0.8823958070573726,-0.8223976319684263,-0.7342381484393319,-0.4371115995397956,<1H OCEAN
-0.0816733067729096,-0.103081827842721,0.6078431372549018,-0.8936365023653289,-0.8544382371198014,-0.9093023907620728,-0.8562736392040783,-0.8207610929504421,-0.819790433853881,INLAND
0.2111553784860547,-0.6896918172157278,0.6470588235294117,-0.9361106872170508,-0.8820608317815022,-0.9286414977998262,-0.8825851011346818,-0.808030234065737,-0.6210283668933323,<1H OCEAN
0.3525896414342604,-0.7151965993623799,0.5294117647058822,-0.9392644590264,-0.9090626939788952,-0.9411979035286864,-0.915474428547936,-0.7836857422656239,-0.5958738314481176,INLAND
0.3326693227091617,-0.6620616365568539,-0.3725490196078432,-0.8358512640520881,-0.8746120422098076,-0.9279127778244906,-0.8664693307021871,-0.1883836085019516,0.2045352390299422,INLAND
0.2131474103585624,-0.6408076514346446,0.6470588235294117,-0.9274632483849636,-0.8994413407821229,-0.9533058661958014,-0.9010031244861044,-0.4378008579192011,-0.1991744363940766,<1H OCEAN
0.4362549800796813,-0.9596174282678004,-0.019607843137255,-0.9772114553130882,-0.9593420235878336,-0.9823986098265084,-0.9644795263936852,-0.5172342450448959,-0.4948433202337309,NEAR OCEAN
-0.3585657370517943,0.1030818278427201,0.5294117647058822,-0.94282516913373,-0.9320297951582868,-0.9627792258751646,-0.9230389738529848,-0.6116053571674873,-0.5426781745229916,INLAND
0.2848605577689227,-0.7321997874601491,0.0196078431372548,-0.8894145175237804,-0.8631284916201117,-0.9194484150340536,-0.8628515046867291,-0.4655108205404062,-0.185566245087649,<1H OCEAN
-0.5796812749003983,0.0478214665249732,0.3725490196078429,-0.897298947047154,-0.8659217877094972,-0.937554303652008,-0.8582469988488736,-0.5270272134177459,0.1880404616888178,NEAR OCEAN
-0.4223107569721129,0.2752391073326254,0.4509803921568627,-0.9052342438577752,-0.8811297330850404,-0.9411979035286864,-0.883900674231212,-0.8221817630101654,-0.8123677840503749,INLAND
0.2071713147410321,-0.6811902231668432,0.1764705882352939,-0.9644946335011954,-0.9075108628181254,-0.9288657193306986,-0.9023186975826344,-0.7718238369125943,-0.5336060469853732,<1H OCEAN
-0.5079681274900416,0.0903294367693945,-0.411764705882353,-0.7930718754768808,-0.8066418373680944,-0.9136747106140868,-0.8105574740996546,-0.169459731589909,0.222679494105179,INLAND
0.39043824701195,-0.6748140276301804,0.9999999999999998,-0.9975583702121166,-0.9975170701427684,-0.9968048431850668,-0.9950666008880118,-0.4999931035433993,0.0206184716764055,INLAND
-0.095617529880478,-0.2051009564293302,-0.0980392156862746,-0.9724299303118163,-0.9655493482309124,-0.9753916869867428,-0.9654662062160828,-0.6403911670183859,-0.8305120391256118,INLAND
-0.591633466135459,0.126461211477153,-0.4901960784313726,-0.6259728368686098,-0.2529484792054625,-0.8263964797219652,-0.3257687880282848,-0.5169859726072743,-0.46886404592146,NEAR BAY
0.217131474103585,-0.6981934112646115,0.4117647058823528,-0.9186123404038864,-0.8798882681564246,-0.9131141567869054,-0.8878473935208024,-0.7840581509220562,-0.676698240419627,<1H OCEAN
0.199203187250994,-0.6705632306057376,0.3725490196078429,-0.9715651864286078,-0.9444444444444444,-0.9811093360239916,-0.9585594474592994,-0.8706776458255748,-0.3814417260135009,<1H OCEAN
0.0278884462151403,-0.657810839532412,0.1764705882352939,-0.7877308103158859,-0.6887026691495965,-0.8146248493511589,-0.6865647097516856,-0.6277292726996868,-0.2973183615737665,NEAR OCEAN
0.2490039840637443,-0.7321997874601491,0.0980392156862743,-0.8131644539396714,-0.8100558659217878,-0.9184954735278454,-0.8059529682617991,-0.2337485000206893,0.4614413961179542,<1H OCEAN
-0.3027888446215137,-0.3985122210414458,-0.215686274509804,-0.9475558268477542,-0.9397889509621352,-0.9672076011098965,-0.9388258510113467,-0.6803630294754555,-0.1261850466596012,NEAR OCEAN
-0.5358565737051784,0.0265674814027621,-0.7254901960784315,-0.7108703392848059,-0.5381750465549349,-0.8179881723142464,-0.5632297319519816,-0.4788623605191652,0.2894833423367327,<1H OCEAN
-0.264940239043824,-0.3730074388947919,-0.3725490196078432,-0.7751665903657358,-0.7070142768466792,-0.8708483982174388,-0.7092583456668311,-0.6788182231969214,-0.35546245170123,<1H OCEAN
0.3266932270916314,-0.6726886291179595,-0.4901960784313726,-0.7897146345185411,-0.7253258845437617,-0.886599960761232,-0.7411609932576879,-0.6228327885132618,-0.533193677551845,INLAND
